,Unnamed: 0,Mô tả,text_cleaned
28,28,"- bán lô đất vàng mặt tiền đường bạch đằng - gần chợ hàn, bình thuận, hải châudiện tích : 169m2 (ngang 6,6mx24, nở hậu7,3m)- hướng đông, view trực diện sông hàn tuyệt đẹp, thoáng mát.- đất ở đô thị, sổ đỏ, sở hữu lâu dài. vị trí đẹp phù hợp đầu tư làm nhà hàng, khách sạn,trung tâm văn phòng,...- bán đất tặng nhà đang cho thuê 150tr/th- vị trí đắc địa nằm trên con đường triệu đô, kinh doanh sầm uất, giữa cầu rồng và cầu sồng hàn- giá bán bán đến công chứng 75 tỷ có thương lượng - lh:zalo/callbđs newlands chuyên nhà đất thổ cư đà nẵngpkd1: 12 vũ văndũng  sơn tràpkd2: trục shophouse kđt fpt nhs","bán lô đất vàng mặt tiền đường bạch đằng gần chợ hàn, bình thuận, hải châu diện tích 169m2 (ngang 6,6m x 24, nở hậu 7,3m) hướng đông, view trực diện sông hàn tuyệt đẹp, thoáng mát. đất ở đô thị, sổ đỏ, sở hữu lâu dài. vị trí đẹp phù hợp đầu tư làm nhà hàng, khách sạn,trung tâm văn phòng,... bán đất tặng nhà đang cho thuê 150tr/th vị trí đắc địa nằm trên con đường triệu đô, kinh doanh sầm uất, giữa cầu rồng và cầu sồng hàn giá bán bán đến công chứng 75 tỷ có thương lượng lh zalo/call bđs newlands chuyên nhà đất thổ cư đà nẵngpkd1 12 vũ văndũng sơn tràpkd2 trục shophouse kđt fpt nhs"
29,29,"bán đất ngay chợ an hải bắc đường nguyễn thị định giá rẻ chỉ 6.6 tỷ.- diện tích: 5x18.2m( 90.8m2), hướng tb- đường: 15m vỉa hè 5m- vị trí: trục đường chính của khu vực  với 4 làn xe, nơi tập trung kinh doanh nhiều ngành nghề, đặc biệt gần chợ an hải bắc, gần sông hàn. phù hợp mua ở, xây văn phòng, căn hộ, kinh doanh nhiều ngành nghề.- giá bán nhanh đến công chứng: 6.6 tỷ tl- - - - - - - - - - - - - - - - - - - - - - -- lh: call/zalobđs newlands chuyên nhà đất thổ cư đà nẵng- pkd1: 12 vũ văn dũng, sơn trà- pkd2: shophouse kđt fpt, ngũ hành sơn.","bán đất ngay chợ an hải bắc đường nguyễn thị định giá rẻ chỉ 6.6 tỷ. diện tích 5 x 18.2m ( 90.8m2), hướng tb đường 15m vỉa hè 5m vị trí trục đường chính của khu vực với 4 làn xe, nơi tập trung kinh doanh nhiều ngành nghề, đặc biệt gần chợ an hải bắc, gần sông hàn. phù hợp mua ở, xây văn phòng, căn hộ, kinh doanh nhiều ngành nghề. giá bán nhanh đến công chứng 6.6 tỷ tl lh call/zalo bđs newlands chuyên nhà đất thổ cư đà nẵng pkd1 12 vũ văn dũng, sơn trà pkd2 shophouse kđt fpt, ngũ hành sơn."
30,30,"bán rẻ nhà 3 tầng mới đẹp 121m2 (5x24) mt đường 15m hồ nghinh, phước mỹ, sơn trà, tp đà nẵng.- dt đất: 121m2 (5x24m)- hướng tây bắc - nhà 3 tầng mới đẹp, gồm 5pn khép kín 5wc, pk bếp, nhà thiết kế hiện đại, rộng rãi đẹp, full nội thất - vị trí: mt đường 15m hồ nghinh, đoạn ngay ngã 4 vương thừa vũ, gần công viên biển đông, vị trí đẹp tầm 200m ra biển mỹ khê, khu biển du lịch, tuyến đường kinh doanh sầm uất - giá bán đến công chứng 17,5 tỷ (có tl)- lh : zalo/callbđs newlands chuyên nhà đất thổ cư đà nẵng vpkd1: 12 vũ văn dũng, sơn trà vpkd2: trục shophouse kđt fpt nhs","bán rẻ nhà 3 tầng mới đẹp 121m2 (5 x 24) mt đường 15m hồ nghinh, phước mỹ, sơn trà, tp đà nẵng. dt đất 121m2 (5 x 24m) hướng tây bắc nhà 3 tầng mới đẹp, gồm 5pn khép kín 5wc, pk bếp, nhà thiết kế hiện đại, rộng rãi đẹp, full nội thất vị trí mt đường 15m hồ nghinh, đoạn ngay ngã 4 vương thừa vũ, gần công viên biển đông, vị trí đẹp tầm 200m ra biển mỹ khê, khu biển du lịch, tuyến đường kinh doanh sầm uất giá bán đến công chứng 17,5 tỷ (có tl) lh zalo/call bđs newlands chuyên nhà đất thổ cư đà nẵng vpkd1 12 vũ văn dũng, sơn trà vpkd2 trục shophouse kđt fpt nhs"
31,31,"bán nhanh lô đất đường 7.5m lề 4m bùi công trừng -  hòa xuân - gần công viên - diện tích: 100m(5x20)- hướng: tây nam  - đường 7m5 lề 3m, gần cầu nguyễn tri phương, gần công viên và sông, gần sát đường 10m5 lê quảng chí- giá bán đến công chứng 3,650 tỷ có thương lượng - liên hệ: zalo/callbđs newlands chuyên nhà đất thổ cư đà nẵng vpkd: 12 vũ văn dũng, sơn trà vpkd2: trục shophouse kđt fpt nhs","bán nhanh lô đất đường 7.5m lề 4m bùi công trừng hòa xuân gần công viên diện tích 100m (5 x 20) hướng tây nam đường 7m5 lề 3m, gần cầu nguyễn tri phương, gần công viên và sông, gần sát đường 10m5 lê quảng chí giá bán đến công chứng 3,650 tỷ có thương lượng liên hệ zalo/call bđs newlands chuyên nhà đất thổ cư đà nẵng vpkd 12 vũ văn dũng, sơn trà vpkd2 trục shophouse kđt fpt nhs"
32,32,"bán đất tặng mặt tiền đường tô hiến thành, phước mỹ, sơn trà gần bãi biển mỹ khê- diện tích: 79m2(5,15x15,3m). hướng: tây nam- đường 5m5 lề 1m- vị trí song song với thạch lam, giao nguyễn văn thoại, ngay trung tâm sơn trà, cách biển mỹ khê tầm 100m, khu đông dân cư, đầy đủ tiện ích, xung quanh trường học các cấp, khu phố tây với nhiều khách du lịch- thích hợp mua xây nhà ở hoặc xây nhà hàng, căn hộ cho thuê, đầu tư lâu dài.* giá bán: 5.8 tỷliên hệ:zalo/callbđs newlands chuyên nhà đất thổ cư đà nẵngpkd1: 12 vũ văn dũngpkd2: trục shophouse fpt, ngũ hành sơn","bán đất tặng mặt tiền đường tô hiến thành, phước mỹ, sơn trà gần bãi biển mỹ khê diện tích 79m2 (5,15 x 15,3m). hướng tây nam đường 5m5 lề 1m vị trí song song với thạch lam, giao nguyễn văn thoại, ngay trung tâm sơn trà, cách biển mỹ khê tầm 100m, khu đông dân cư, đầy đủ tiện ích, xung quanh trường học các cấp, khu phố tây với nhiều khách du lịch thích hợp mua xây nhà ở hoặc xây nhà hàng, căn hộ cho thuê, đầu tư lâu dài. * giá bán 5.8 tỷ liên hệ zalo/call bđs newlands chuyên nhà đất thổ cư đà nẵngpkd1 12 vũ văn dũngpkd2 trục shophouse fpt, ngũ hành sơn"
33,33,"bán lô góc đẹp - block b2.66 nam hòa xuân, hòa quý, ngũ hành sơn - diện tích đất: 165m2 (7.7x22) - hướng đông nam- vị trí lô góc ngã 4 đường 7m5 lề 3.5m, trục thông đẹp, gần ngã 4 minh mạng- nguyễn phước lan. thích hợp mua ở, đầu tư...- giá bán đến công chứng  7,1 tỷ có thương lượng - lh xem đất: zalo/callbđs newlands chuyên nhà đất thổ cư đà nẵng -pkd1: 12 vũ văn dũng, sơn trà -pkd2: trục shophouse kđt fpt nhs","bán lô góc đẹp block b2.66 nam hòa xuân, hòa quý, ngũ hành sơn diện tích đất 165m2 (7.7 x 22) hướng đông nam vị trí lô góc ngã 4 đường 7m5 lề 3.5m, trục thông đẹp, gần ngã 4 minh mạng nguyễn phước lan. thích hợp mua ở, đầu tư... giá bán đến công chứng 7,1 tỷ có thương lượng lh xem đất zalo/callbđs newlands chuyên nhà đất thổ cư đà nẵng pkd1 12 vũ văn dũng, sơn trà pkd2 trục shophouse kđt fpt nhs"
34,34,"bán đất 229m2 mặt tiền nguyễn văn thoại, đoạn gần sát biển mỹ khê, an hải đông, sơn trà - diện tích 229m2 (9,2x25) - nở hậu - hướng nam- bán đất + nhà đang cho thuê 50tr/th- vị trí: mt nguyễn văn thoại cách biển 300m, đường 15m, vỉa hè 5m, tuyến đường kinh doanh sầm uất, phù hợp mở nhà hàng, khách sạn, căn hộ …- giá bán đến công chứng 46 tỷ - liên hệ: zalo/callbđs newlands chuyên nhà đất thổ cư đà nẵng + pkd1: 12 vũ văn dũng, sơn trà + pkd2: trục shophouse kđt fpt nhs","bán đất 229m2 mặt tiền nguyễn văn thoại, đoạn gần sát biển mỹ khê, an hải đông, sơn trà diện tích 229m2 (9,2 x 25) nở hậu hướng nam bán đất nhà đang cho thuê 50tr/th vị trí mt nguyễn văn thoại cách biển 300m, đường 15m, vỉa hè 5m, tuyến đường kinh doanh sầm uất, phù hợp mở nhà hàng, khách sạn, căn hộ ... giá bán đến công chứng 46 tỷ liên hệ zalo/callbđs newlands chuyên nhà đất thổ cư đà nẵng pkd1 12 vũ văn dũng, sơn trà pkd2 trục shophouse kđt fpt nhs"
35,35,"bán nhà 3 tầng mặt tiền đường dương đình nghệđoạn sát đường biển võ nguyên giáp, an hải bắc, sơn trà - diện tích đất: 268m2 (11x25.5)- nhà 3 tầng kiên cố gồm 4pn, đang cho thuê doanh thu 50tr/th, hợp đồng còn dài hạn- vị trí đẹp cách biển mỹ khê tầm 200m đối diện trung tâm thương mại dịch vụ, đường 7m5 lề 4,5m, đoạn gần biển kinh doanh dịch vụ du lịch sầm uất - giá bán đến công chứng: 25 tỷ - lh: call/zalo.bđs newlands chuyên nhà đất thổ cư đà nẵng. + pkd1: 12 vũ văn dũng, sơn trà. + pkd2: trục shophouse kđt fpt nhs","bán nhà 3 tầng mặt tiền đường dương đình nghệ đoạn sát đường biển võ nguyên giáp, an hải bắc, sơn trà diện tích đất 268m2 (11 x 25.5) nhà 3 tầng kiên cố gồm 4pn, đang cho thuê doanh thu 50tr/th, hợp đồng còn dài hạn vị trí đẹp cách biển mỹ khê tầm 200m đối diện trung tâm thương mại dịch vụ, đường 7m5 lề 4,5m, đoạn gần biển kinh doanh dịch vụ du lịch sầm uất giá bán đến công chứng 25 tỷ lh call/zalo.bđs newlands chuyên nhà đất thổ cư đà nẵng. pkd1 12 vũ văn dũng, sơn trà. pkd2 trục shophouse kđt fpt nhs"
36,36,"bán lô đất đường trương công hy giai đoạn 1 sát sông, khu nam việt á, quận ngũ hành sơn.- đường 7m5 lề 4m.- dt 105m2 (5x21m).hướng tây nam.gần công viên, ra bờ sông chương dương tầm 200m.- pháp lý rõ ràng, sổ đỏ chính chủ. thích hợp mua xây ở, đầu tư lâu dài, kinh doanh căn hộ…- giá bán tới cc:  4 tỷ 350tr có tllh:zalo/callbất động sản newlands chuyên nhà đất thổ cư đà nẵng+ pkd1: 12 vũ văn dũng, sơn trà+ pkd2: trục shophouse fpt, ngũ hành sơn","bán lô đất đường trương công hy giai đoạn 1 sát sông, khu nam việt á, quận ngũ hành sơn. đường 7m5 lề 4m. dt 105m2 (5 x 21m). hướng tây nam. gần công viên, ra bờ sông chương dương tầm 200m. pháp lý rõ ràng, sổ đỏ chính chủ. thích hợp mua xây ở, đầu tư lâu dài, kinh doanh căn hộ... giá bán tới cc 4 tỷ 350tr có tllh zalo/call bất động sản newlands chuyên nhà đất thổ cư đà nẵng pkd1 12 vũ văn dũng, sơn trà pkd2 trục shophouse fpt, ngũ hành sơn"
37,37,"bán nhà 3 tầng khu đảo vip đường trung lương 12 - hòa xuân - đà nẵng- diện tích: 100m2 (5x20m)- hướng đông nam- nhà 3 tầng, gồm 3pn, 3wc, pk, sân phơi, bếp và phòng thờ, có sân oto, thiết kế hiện đại, full nội thất y hình.- vị trí: mt đường trung lương 12, đường 7m5, lề 3m, nằm trong khu đảo vip của kđt hòa xuân, tuyến đường gần sông, gần công viên, trường học, nhà cửa khang trang, yên bìnhgiá bán: 5,7 tỷ (bán đến công chứng)liên hệ: call/ zalobđs newlands chuyên nhà đất thổ cư đà nẵng + pkd 1 : 12 vũ văn dũng, sơn trà+ pkd 2: trục shophouse kđt fpt nhs","bán nhà 3 tầng khu đảo vip đường trung lương 12 hòa xuân đà nẵng diện tích 100m2 (5 x 20m) hướng đông nam nhà 3 tầng, gồm 3pn, 3wc, pk, sân phơi, bếp và phòng thờ, có sân oto, thiết kế hiện đại, full nội thất y hình. vị trí mt đường trung lương 12, đường 7m5, lề 3m, nằm trong khu đảo vip của kđt hòa xuân, tuyến đường gần sông, gần công viên, trường học, nhà cửa khang trang, yên bìnhgiá bán 5,7 tỷ (bán đến công chứng) liên hệ call/ zalobđs newlands chuyên nhà đất thổ cư đà nẵng pkd 1 12 vũ văn dũng, sơn trà pkd 2 trục shophouse kđt fpt nhs"
38,38,"bán gấp lô đất đường 10m5 mẹ thứ, hòa xuân - đoạn gần võ chí công - diện tích 126,8m (5x24) nở hậu- hướng tây bắc - vị trí đường mẹ thứ đường 10m5, lề 5m, đoạn gần sát đường võ chí công, tuyến đường thông suốt, giao thông nhộn nhịp thuận lợi cho việc kinh doanh buôn bán- giá bán đến cc  4,250 tỷ có bớt (giá cũ 5,5 tỷ)- lh: zalo/callbđs newlands chuyên nhà đất thổ cư đà nẵng vpkd1: 12 vũ văn dũng, sơn trà vpkd2: trục shophouse kđt fpt nhs","bán gấp lô đất đường 10m5 mẹ thứ, hòa xuân đoạn gần võ chí công diện tích 126,8m (5 x 24) nở hậu hướng tây bắc vị trí đường mẹ thứ đường 10m5, lề 5m, đoạn gần sát đường võ chí công, tuyến đường thông suốt, giao thông nhộn nhịp thuận lợi cho việc kinh doanh buôn bán giá bán đến cc 4,250 tỷ có bớt (giá cũ 5,5 tỷ) lh zalo/callbđs newlands chuyên nhà đất thổ cư đà nẵng vpkd1 12 vũ văn dũng, sơn trà vpkd2 trục shophouse kđt fpt nhs"
39,39,"bán lô đất đẹp mặt tiền đường 10,5m đỗ bá - cách biển mỹ khê 200m, khu an thượng, mỹ an, nhs- diện tích: 90m2 (4.5x20) - hướng nam- vị trí mt đường 10m5 lề 5m, cách biển mỹ khê chỉ 2 phút đi bộ, khu trung tâm phố du lịch an thượng, gần lê quang đạo, nguyễn văn thoại, khu du lịch sầm uất. phù hợp đầu tư, xây khách sạn, tòa căn hộ...- giá bán 16,5 tỷ có thương lượng (bán đến cc)liên hệ: zalo/callbđs newlands chuyên nhà đất thổ cư đà nẵng.+ pkd1: 12 vũ văn dũng, sơn trà.+ pkd2: trục shophouse kđt fpt, nhs","bán lô đất đẹp mặt tiền đường 10,5m đỗ bá cách biển mỹ khê 200m, khu an thượng, mỹ an, nhs diện tích 90m2 (4.5 x 20) hướng nam vị trí mt đường 10m5 lề 5m, cách biển mỹ khê chỉ 2 phút đi bộ, khu trung tâm phố du lịch an thượng, gần lê quang đạo, nguyễn văn thoại, khu du lịch sầm uất. phù hợp đầu tư, xây khách sạn, tòa căn hộ... giá bán 16,5 tỷ có thương lượng (bán đến cc)liên hệ zalo/callbđs newlands chuyên nhà đất thổ cư đà nẵng. pkd1 12 vũ văn dũng, sơn trà. pkd2 trục shophouse kđt fpt, nhs"
40,40,"rẻ nhất tuyến - chào bán lô đất đẹp mt đường trần hưng đạo – gần cổng chính khu biệt thự euro village, an hải tây, sơn trà- diện tích đất: 100m2 (5x20)- hướng: đông - vị trí: mặt tiền đường 15m trần hưng đạo, vỉa hè 12m, gần euro villa, gần tòa căn hộ cao cấp monarchy. khu vực kinh doanh, buôn bán sầm uất. phù hợp mua đầu tư, hoặc xây tòa căn hộ, khách sạn, văn phòng cho thuê.- giá bán đến công chứng: 15,5 tỷ (tl)liên hệ: (zalo/call)bđs newlands chuyên nhà đất thổ cư đà nẵng + pkd1: 12 vũ văn dũng, sơn trà+ pkd 2: shophouse fpt, ngũ hành sơn","rẻ nhất tuyến chào bán lô đất đẹp mt đường trần hưng đạo gần cổng chính khu biệt thự euro village, an hải tây, sơn trà diện tích đất 100m2 (5 x 20) hướng đông vị trí mặt tiền đường 15m trần hưng đạo, vỉa hè 12m, gần euro villa, gần tòa căn hộ cao cấp monarchy. khu vực kinh doanh, buôn bán sầm uất. phù hợp mua đầu tư, hoặc xây tòa căn hộ, khách sạn, văn phòng cho thuê. giá bán đến công chứng 15,5 tỷ (tl)liên hệ (zalo/call)bđs newlands chuyên nhà đất thổ cư đà nẵng pkd1 12 vũ văn dũng, sơn trà pkd 2 shophouse fpt, ngũ hành sơn"
41,41,"bán khách sạn 3 sao - 10 tầng - mt đường trần hưng đạo - view sông hàn - novote và trung tâm hành chính, đối diện khu bắn pháo hoa quốc tế, sơn trà - dt đất: 375m2 (15x25), dt sàn 3.481m2- công năng: khách sạn 10 tầng có 60 phòng, chuẩn 3 sao, thiết kế đẹp hiện đại, tất cả các phòng đều có cửa sổ view sông hàn, view phố, nội thất còn mới đẹp, có nhà hàng phục vụ tối đa 150 khách, phòng hội nghị phục vụ được 200 khách. toàn hiện đang kinh doanh tốt- vị trí: có vị trí thuận lợi ngay chân cầu sông hàn, ra biển chỉ 5 phút, dễ dàng kết nối các địa điểm du lịch, view cầu sông hàn novotel và view trực diện pháo hoa, đối diện điểm bắn pháo hoa quốc tế, kinh doanh lưu trú tốt.- pháp lý đầy đủ, đã hoàn công, đầy đủ giấy phép.- giá bán đến công chứng: 95 tỷ có tl - liên hệ: zalo/callbđs newlands chuyên nhà đất thổ cư đà nẵngpkd1: 12 vũ văn dũng, sơn tràpkd2: trục shophouse fpt, ngũ hành sơn","bán khách sạn 3 sao 10 tầng mt đường trần hưng đạo view sông hàn novote và trung tâm hành chính, đối diện khu bắn pháo hoa quốc tế, sơn trà dt đất 375m2 (15 x 25), dt sàn 3.481m2 công năng khách sạn 10 tầng có 60 phòng, chuẩn 3 sao, thiết kế đẹp hiện đại, tất cả các phòng đều có cửa sổ view sông hàn, view phố, nội thất còn mới đẹp, có nhà hàng phục vụ tối đa 150 khách, phòng hội nghị phục vụ được 200 khách. toàn hiện đang kinh doanh tốt vị trí có vị trí thuận lợi ngay chân cầu sông hàn, ra biển chỉ 5 phút, dễ dàng kết nối các địa điểm du lịch, view cầu sông hàn novotel và view trực diện pháo hoa, đối diện điểm bắn pháo hoa quốc tế, kinh doanh lưu trú tốt. pháp lý đầy đủ, đã hoàn công, đầy đủ giấy phép. giá bán đến công chứng 95 tỷ có tl liên hệ zalo/callbđs newlands chuyên nhà đất thổ cư đà nẵngpkd1 12 vũ văn dũng, sơn tràpkd2 trục shophouse fpt, ngũ hành sơn"
42,42,"‼️🛑bán lô đất đẹp mt đường hà chương- gần võ nguyên giáp - 2 phút đi bộ ra biển mỹ khê 9✳dt 190m2 (10x19)- hướng đông nam- hiện đang cho thuê 50tr/th⛔đường 7m5 - cách biển mỹ khê chỉ 100m2, vị trí đẹp xây tòa căn hộ, ks đẹp- đất sổ đỏ, pháp lý đầy đủ ℹ- giá ib để có giá tốt nhất ☎️- lh nhanh  zalo/call","bán lô đất đẹp mt đường hà chương gần võ nguyên giáp 2 phút đi bộ ra biển mỹ khê 9 dt 190m2 (10 x 19) hướng đông nam hiện đang cho thuê 50tr/th đường 7m5 cách biển mỹ khê chỉ 100m2, vị trí đẹp xây tòa căn hộ, ks đẹp đất sổ đỏ, pháp lý đầy đủ i giá ib để có giá tốt nhất lh nhanh zalo/call"
43,43,"bán đất đẹp 2mt biển mỹ khê, mt đường hoàng sa, đoạn từ lê văn thứ đến nguyễn phan vinh, sơn trà - diện tích đất đẹp 110m2 (5 x 21.85m). đất ở tại đô thị, sổ đỏ lâu dài- hướng đông lệch nam- vị trí: mặt tiền là đường lớn hoàng sa ven biển hướng lên bán đảo sơn trà, vỉa hè rộng 9m, phía sau là đường bê tông 5m. gần phố gần chùa linh ứng- được xây cao tầng, phù hợp xây khách sạn, nhag hàng, đầu tư...- giá bán 190tr/m2 - lh  zalo/callbđs newlands chuyên nhà đất thổ cư đà nẵng vpkd1: 12 vũ văn dũng, sơn trà vpkd2: 31 loseby, sơn trà","bán đất đẹp 2mt biển mỹ khê, mt đường hoàng sa, đoạn từ lê văn thứ đến nguyễn phan vinh, sơn trà diện tích đất đẹp 110m2 (5 x 21.85m). đất ở tại đô thị, sổ đỏ lâu dài hướng đông lệch nam vị trí mặt tiền là đường lớn hoàng sa ven biển hướng lên bán đảo sơn trà, vỉa hè rộng 9m, phía sau là đường bê tông 5m. gần phố gần chùa linh ứng được xây cao tầng, phù hợp xây khách sạn, nhag hàng, đầu tư... giá bán 190tr/m2 lh zalo/callbđs newlands chuyên nhà đất thổ cư đà nẵng vpkd1 12 vũ văn dũng, sơn trà vpkd2 31 loseby, sơn trà"
44,44,"bán khách sạn 6 tầng đường 6m nguyễn văn thoại, vị trí sát biển mỹ khê, phường phước mỹ, sơn trà, đà nẵng.- diện tích: 78m2 (5x15.8). hướng đông- khách sạn 6 tầng, 13 phòng khách sạn, có thang máy, mới xây, thiết kế đẹp, hợp lý, full nội thất mới, đầy đủ giấy tờ pháp lý, chỉ cần vào vận hành, kinh doanh ngay. phù hợp kinh doanh dòng khách nước ngoài.- vị trí:đường rộng 6 m thông nguyễn văn thoại và lâm hoành, cách biển mỹ khê tầm 300m, đoạn đường đẹp nhiều khách sạn, tòa căn hộ.- giá bán đến công chứng: 13,5 tỷ có thương lượng.liên hệ zalo/callbđs newlands chuyên nhà đất thổ cư đà nẵng+ pkd1: 12 vũ văn dũng, sơn trà+ pkd2: 31 loseby, sơn trà","bán khách sạn 6 tầng đường 6m nguyễn văn thoại, vị trí sát biển mỹ khê, phường phước mỹ, sơn trà, đà nẵng. diện tích 78m2 (5 x 15.8). hướng đông khách sạn 6 tầng, 13 phòng khách sạn, có thang máy, mới xây, thiết kế đẹp, hợp lý, full nội thất mới, đầy đủ giấy tờ pháp lý, chỉ cần vào vận hành, kinh doanh ngay. phù hợp kinh doanh dòng khách nước ngoài. vị trí đường rộng 6 m thông nguyễn văn thoại và lâm hoành, cách biển mỹ khê tầm 300m, đoạn đường đẹp nhiều khách sạn, tòa căn hộ. giá bán đến công chứng 13,5 tỷ có thương lượng.liên hệ zalo/callbđs newlands chuyên nhà đất thổ cư đà nẵng pkd1 12 vũ văn dũng, sơn trà pkd2 31 loseby, sơn trà"
45,45,"bán gấp lô góc 2 mặt tiền 164m2 đường phan văn hớn và nguyễn đăng tuyển đầu tuyến sơn trà đường 7m5.- diện tích: 164m2, ngang 9m, dài 18m vuông vức đẹp.- hướng: tây bắc - đông bắc, đường 7m5, vỉa hè 4m5.- khí hậu trong lành mát mẻ, nằm cách biển sơn trà 200m. đất phù hợp xây khách sạn, mở nhà hàng, xây biệt thự nghỉ dưỡng. giá trị phát triển cao về đầu tư bất động sản.- gần trục đường lớn lý tử tấn, lê văn lương, nguyễn đăng giai, lê đức thọ..., đối diện chung cư, chỗ để xe thoải mái,....🆗️- giá: 10 tỷ tl ☎️lh zalo/call","bán gấp lô góc 2 mặt tiền 164m2 đường phan văn hớn và nguyễn đăng tuyển đầu tuyến sơn trà đường 7m5. diện tích 164m2, ngang 9m, dài 18m vuông vức đẹp. hướng tây bắc đông bắc, đường 7m5, vỉa hè 4m5. khí hậu trong lành mát mẻ, nằm cách biển sơn trà 200m. đất phù hợp xây khách sạn, mở nhà hàng, xây biệt thự nghỉ dưỡng. giá trị phát triển cao về đầu tư bất động sản. gần trục đường lớn lý tử tấn, lê văn lương, nguyễn đăng giai, lê đức thọ..., đối diện chung cư, chỗ để xe thoải mái,.... giá 10 tỷ tl lh zalo/call"
46,46,"bán đất giá đầu tư đường mỹ đa đông 10, gần biển mỹ khê, ngũ hành sơn, đà nẵng, cách biển 100 m.- diện tích đất: 218m2(ngang 8.5m nở hậu) - hướng: đông bắc- đường rộng 5m5, thông đường võ nguyên giáp – phan tứvị trí đẹp, gần biển mỹ khê, gần phố tây an thượng, khu vực phù hợp mua xây dựng khách sạn, căn hộ, đầu tư lâu dài,…- giá bán đến công chứng: 13 tỷ.liên hệ:zalo/callbđs newlands chuyên nhà đất thổ cư đà nẵng+ pkd1: 12 vũ văn dũng, sơn trà+ pkd2: 31 loseby, sơn trà.","bán đất giá đầu tư đường mỹ đa đông 10, gần biển mỹ khê, ngũ hành sơn, đà nẵng, cách biển 100 m. diện tích đất 218m2 (ngang 8.5m nở hậu) hướng đông bắc đường rộng 5m5, thông đường võ nguyên giáp phan tứ vị trí đẹp, gần biển mỹ khê, gần phố tây an thượng, khu vực phù hợp mua xây dựng khách sạn, căn hộ, đầu tư lâu dài,... giá bán đến công chứng 13 tỷ. liên hệ zalo/callbđs newlands chuyên nhà đất thổ cư đà nẵng pkd1 12 vũ văn dũng, sơn trà pkd2 31 loseby, sơn trà."
47,47,"bán lô góc vị trí siêu đẹp khu đầm sen block b2.135 khu nam hòa xuân, hòa quý, ngũ hành sơn.- diện tích: 281,3 m2, ( 14 x20)- hướng: tây bắc & tây nam.- đường: 7m5. vỉa hè: 3m5- vị trí gần ngay các tuyến đường lớn: nguyễn phước lan, minh mạng, gần công viên đầm sen…., trục thông ra sông.- gián bán đến công chứng: 12,5 tỷ, giá có tl.- liên hệ:       call/zalo.bđs newlands chuyên nhà đất thổ cư đà nẵng+ pkd1: 12 vũ văn dũng, sơn trà+ pkd2: 31 loseby, sơn trà.+ pkd3: trục shophouse fpt, ngũ hành sơn.","bán lô góc vị trí siêu đẹp khu đầm sen block b2.135 khu nam hòa xuân, hòa quý, ngũ hành sơn. diện tích 281,3 m2, ( 14 x 20) hướng tây bắc tây nam. đường 7m5. vỉa hè 3m5 vị trí gần ngay các tuyến đường lớn nguyễn phước lan, minh mạng, gần công viên đầm sen...., trục thông ra sông. giá bán đến công chứng 12,5 tỷ, giá có tl. liên hệ call/zalo.bđs newlands chuyên nhà đất thổ cư đà nẵng pkd1 12 vũ văn dũng, sơn trà pkd2 31 loseby, sơn trà. pkd3 trục shophouse fpt, ngũ hành sơn."
48,48,"bán tòa căn hộ 6 tầng gồm 10 căn studio, mặt tiền đường lê ninh, phường an hải bắc, quận sơn trà, tp đà nẵng.- diện tích: 90m2 - hướng đông mát mẻ - đường 5m5 lề 3mxây làm 6 tầng với tổng cộng 10 căn studio, full nội thất, cửa sổ thiết kế rộng lấy sáng, lấy khí trời mát mẻ cả ngày.- vị trí cực kỳ đắc địa ngay khu phố người hàn quốc sinh sống, cách công viên biển đông, bãi tắm mỹ khê, phạm văn đồng 500m, khu vực tập trung nhà hàng, khách sạn, căn hộ dịch vụ tiêu chuẩn 3 - 4 sao. phù hợp kh mua để giữ tài sản hoặc cho thuê kinh doanh. (hiện đang cho thuê kinh doanh 35 tr/tháng, hd 1 năm)- giá bán đến công chứng 11,5 tỷ. liên hệ:bđs newlands chuyên nhà đất thổ cư đà nẵng+ pkd1: 12 vũ văn dũng, sơn trà+ pkd2: 31 loseby, sơn trà.","bán tòa căn hộ 6 tầng gồm 10 căn studio, mặt tiền đường lê ninh, phường an hải bắc, quận sơn trà, tp đà nẵng. diện tích 90m2 hướng đông mát mẻ đường 5m5 lề 3m x ây làm 6 tầng với tổng cộng 10 căn studio, full nội thất, cửa sổ thiết kế rộng lấy sáng, lấy khí trời mát mẻ cả ngày. vị trí cực kỳ đắc địa ngay khu phố người hàn quốc sinh sống, cách công viên biển đông, bãi tắm mỹ khê, phạm văn đồng 500m, khu vực tập trung nhà hàng, khách sạn, căn hộ dịch vụ tiêu chuẩn 3 4 sao. phù hợp kh mua để giữ tài sản hoặc cho thuê kinh doanh. (hiện đang cho thuê kinh doanh 35 tr/tháng, hd 1 năm) giá bán đến công chứng 11,5 tỷ. liên hệ bđs newlands chuyên nhà đất thổ cư đà nẵng pkd1 12 vũ văn dũng, sơn trà pkd2 31 loseby, sơn trà."
